DispositionScore,OrbitalPeriod[days,OrbitalPeriodUpperUnc.[days,OrbitalPeriodLowerUnc.[days,TransitEpoch[BKJD,TransitEpochUpperUnc.[BKJD,TransitEpochLowerUnc.[BKJD,ImpactParamete,ImpactParameterUpperUnc,ImpactParameterLowerUnc,TransitDuration[hrs,TransitDurationUpperUnc.[hrs,TransitDurationLowerUnc.[hrs,TransitDepth[ppm,TransitDepthUpperUnc.[ppm,TransitDepthLowerUnc.[ppm,PlanetaryRadius[Earthradii,PlanetaryRadiusUpperUnc.[Earthradii,PlanetaryRadiusLowerUnc.[Earthradii,EquilibriumTemperature[K,InsolationFlux[Earthflux,InsolationFluxUpperUnc.[Earthflux,InsolationFluxLowerUnc.[Earthflux,TransitSignal-to-Nois,TCEPlanetNumbe,StellarEffectiveTemperature[K,StellarEffectiveTemperatureUpperUnc.[K,StellarEffectiveTemperatureLowerUnc.[K,StellarSurfaceGravity[log10(cm/s**2),StellarSurfaceGravityUpperUnc.[log10(cm/s**2),StellarSurfaceGravityLowerUnc.[log10(cm/s**2),StellarRadius[Solarradii,StellarRadiusUpperUnc.[Solarradii,StellarRadiusLowerUnc.[Solarradii,RA[decimaldegrees,Dec[decimaldegrees,Kepler-band[mag],ExoplanetCandidate,ExoplanetConfirmed
1.0,2.800111267,4.01e-06,-4.01e-06,132.04865,0.00121,-0.00121,0.806,0.096,-0.571,1.0237,0.0459,-0.0459,707.0,28.5,-28.5,2.13,0.17,-0.2,956.0,197.81,57.46,-54.04,33.5,1.0,4786.0,130.0,-144.0,4.579,0.06,-0.03,0.704,0.054,-0.066,291.22433,45.778091,15.229,1,1
0.999,1.538180949,1.62e-06,-1.62e-06,131.822823,0.000896,-0.000896,0.932,0.063,-0.679,1.2635,0.0538,-0.0538,841.0,22.4,-22.4,1.0,0.23,-0.18,602.0,30.85,19.76,-11.82,47.7,1.0,3364.0,74.0,-67.0,4.978,0.07,-0.07,0.274,0.062,-0.05,297.72925,42.86692,15.722,1,2
0.0,1.33255441,1.09e-05,-1.09e-05,132.05269,0.00608,-0.00608,0.649,0.297,-0.436,3.828,0.187,-0.187,107.0,8.0,-8.0,1.12,0.35,-0.14,1743.0,2180.2,2031.91,-759.48,15.1,1.0,6099.0,171.0,-236.0,4.456,0.054,-0.202,1.028,0.324,-0.13,292.6069,45.701408,15.708,0,0
0.998,8.98826122,9.23e-05,-9.23e-05,138.83733,0.00717,-0.00717,0.92,0.01,-0.639,4.96,0.209,-0.209,161.0,12.6,-12.6,1.39,0.43,-0.14,864.0,131.92,123.49,-38.42,14.5,1.0,5984.0,188.0,-188.0,4.521,0.039,-0.221,0.906,0.279,-0.093,296.74643,43.045441,15.257,1,1
0.0,4.722254104,1.58e-06,-1.58e-06,178.243313,0.000255,-0.000255,0.506,0.03,-0.003,3.451,0.0209,-0.0209,82700.0,354.0,-354.0,14.45,0.98,-0.8,557.0,22.67,4.75,-3.73,314.1,1.0,3801.0,57.0,-62.0,4.776,0.025,-0.039,0.488,0.033,-0.027,296.69562,47.327309,13.987,0,0
0.996,60.8660974,0.00065,-0.00065,179.28674,0.00787,-0.00787,0.004,0.463,-0.004,4.397,0.238,-0.238,714.0,53.7,-53.7,1.39,0.07,-0.1,244.0,0.84,0.17,-0.16,15.4,1.0,3808.0,69.0,-76.0,4.734,0.033,-0.027,0.522,0.028,-0.035,290.51019,38.743542,15.757,1,2
0.0,8.098754149,2.58e-07,-2.58e-07,134.775324,2.63e-05,-2.63e-05,1.467,0.006,-0.131,5.62354,0.00178,-0.00178,56600.0,9.4,-9.4,123.02,35.7,-32.1,1176.0,452.03,390.47,-241.75,5402.0,1.0,6328.0,181.0,-250.0,4.16,0.214,-0.175,1.45,0.421,-0.378,292.49185,47.83535,11.587,0,0
0.997,36.33750453,7.26e-05,-7.26e-05,160.39806,0.00158,-0.00158,0.825,0.019,-0.069,7.06,0.161,-0.161,2830.0,32.5,-32.5,5.3,1.38,-0.46,513.0,16.36,12.57,-4.3,96.8,1.0,5717.0,156.0,-173.0,4.538,0.044,-0.187,0.884,0.23,-0.077,294.10818,44.770699,15.773,1,2
0.999,33.0063185,0.000149,-0.000149,145.38821,0.00392,-0.00392,0.39,0.063,-0.39,7.118,0.12,-0.12,278.0,7.6,-7.6,3.13,0.45,-0.76,778.0,86.38,35.64,-40.42,38.2,2.0,5968.0,120.0,-108.0,3.972,0.21,-0.084,1.857,0.264,-0.452,286.58316,39.077202,13.42,1,2
0.0,0.806277023,4.95e-06,-4.95e-06,131.78567,0.00672,-0.00672,0.697,0.26,-0.451,7.275,0.312,-0.312,70.8,3.8,-3.8,0.89,0.29,-0.09,2046.0,4119.09,3927.86,-1221.11,37.9,1.0,6122.0,165.0,-184.0,4.471,0.054,-0.229,0.996,0.324,-0.108,290.81723,38.53912,13.614,0,0
0.0,0.885129679,6.06e-06,-6.06e-06,131.88274,0.00637,-0.00637,0.651,0.04,-0.507,3.156,0.172,-0.172,177.0,10.5,-10.5,1.21,0.38,-0.1,1780.0,2373.06,2198.28,-623.67,21.2,1.0,5792.0,172.0,-190.0,4.547,0.037,-0.213,0.864,0.267,-0.071,298.87418,43.440891,15.766,0,0
1.0,18.49234792,3.31e-05,-3.31e-05,173.49816,0.00141,-0.00141,0.034,0.399,-0.034,3.4744,0.0534,-0.0534,1660.0,30.7,-30.7,3.34,0.52,-0.42,603.0,31.27,15.71,-10.15,61.4,1.0,5289.0,159.0,-159.0,4.477,0.115,-0.127,0.838,0.13,-0.106,297.50369,41.057018,14.915,1,2
1.0,5.350156114,4.54e-06,-4.54e-06,195.761347,0.000626,-0.000626,0.008,0.349,-0.008,2.2647,0.0215,-0.0215,765.0,9.9,-9.9,2.6,0.72,-0.29,989.0,226.02,185.09,-67.76,87.1,2.0,5592.0,150.0,-166.0,4.467,0.065,-0.182,0.953,0.266,-0.106,293.7471,45.10722,14.361,1,2
0.228,4.409409243,5.83e-06,-5.83e-06,171.89433,0.00105,-0.00105,0.028,0.269,-0.028,3.8636,0.0468,-0.0468,12900.0,174.0,-174.0,10.95,3.05,-2.03,1101.0,347.06,298.88,-143.45,85.8,1.0,5600.0,186.0,-169.0,4.368,0.185,-0.204,0.975,0.271,-0.181,296.41019,43.455391,15.403,0,0
0.847,10.1384691,0.000192,-0.000192,137.7149,0.0129,-0.0129,0.207,0.263,-0.207,4.026,0.417,-0.417,92.8,12.3,-12.3,0.74,0.16,-0.05,723.0,64.55,42.03,-15.16,9.1,2.0,5483.0,166.0,-149.0,4.589,0.034,-0.136,0.779,0.164,-0.059,285.12204,44.1106,14.64,1,1
0.996,96.4562198,0.000423,-0.000423,214.74931,0.00341,-0.00341,0.775,0.114,-0.526,11.195,0.166,-0.166,951.0,18.3,-18.3,9.1,1.63,-3.03,727.0,65.96,36.34,-40.12,54.6,1.0,7029.0,194.0,-219.0,3.806,0.277,-0.092,2.704,0.485,-0.901,284.41592,48.65802,12.998,1,1
0.972,65.7045275,0.000106,-0.000106,137.44275,0.0014,-0.0014,0.663,0.197,-0.434,3.3104,0.0469,-0.0469,636.0,10.3,-10.3,2.78,0.42,-0.25,472.0,11.72,4.96,-2.8,70.4,1.0,5918.0,106.0,-130.0,4.403,0.08,-0.12,1.043,0.158,-0.092,283.37482,43.788219,11.667,1,1
0.0,5.917085496,2.52e-06,-2.52e-06,132.900327,0.000352,-0.000352,0.095,0.012,-0.014,23.7545,0.0307,-0.0307,563000.0,618.0,-618.0,75.86,20.7,-12.1,1005.0,241.42,193.24,-88.3,1331.5,1.0,5661.0,152.0,-152.0,4.383,0.149,-0.182,0.987,0.269,-0.157,289.34967,40.497189,14.352,0,0
1.0,28.8672107,0.000338,-0.000338,156.19578,0.00935,-0.00935,0.041,0.415,-0.041,3.782,0.312,-0.312,347.0,28.5,-28.5,1.51,0.14,-0.05,493.0,14.0,4.1,-1.98,12.0,3.0,5191.0,103.0,-103.0,4.564,0.016,-0.088,0.837,0.078,-0.03,293.0614,43.58136,15.258,1,1
0.0,1.070982122,7.33e-06,-7.33e-06,131.98355,0.00547,-0.00547,0.563,0.4,-0.362,1.255,0.202,-0.202,43.4,6.8,-6.8,0.98,0.23,-0.32,2122.0,4811.39,3428.47,-2853.12,9.0,1.0,5717.0,156.0,-138.0,4.109,0.35,-0.15,1.433,0.344,-0.473,298.89642,40.477009,12.334,0,0
0.0,11.75560012,3.5e-05,-3.5e-05,176.07519,0.00257,-0.00257,1.228,34.59,-0.138,4.7,0.124,-0.124,649.0,16.7,-16.7,22.39,4.69,-1.89,716.0,62.19,39.02,-15.45,46.3,1.0,5644.0,152.0,-152.0,4.575,0.036,-0.144,0.806,0.169,-0.068,290.02872,43.261089,14.356,0,0
1.0,3.949627144,5.3e-06,-5.3e-06,134.61096,0.00113,-0.00113,0.049,0.379,-0.049,1.5485,0.0387,-0.0387,807.0,21.7,-21.7,2.32,0.29,-0.22,966.0,206.05,90.56,-56.01,45.1,1.0,5155.0,170.0,-154.0,4.523,0.056,-0.084,0.836,0.104,-0.078,292.35394,46.22628,15.623,1,2
0.529,65.415183,0.00127,-0.00127,140.2325,0.0164,-0.0164,0.377,0.082,-0.377,4.224,0.561,-0.561,417.0,56.7,-56.7,1.31,0.08,-0.12,295.0,1.79,0.49,-0.47,8.9,1.0,4348.0,130.0,-130.0,4.62,0.049,-0.021,0.646,0.041,-0.056,291.31281,44.38192,15.559,1,1
0.95,4.38536428,1.37e-05,-1.37e-05,139.22548,0.00258,-0.00258,0.335,0.117,-0.335,2.5126,0.0777,-0.0777,199.0,8.5,-8.5,1.15,0.09,-0.07,935.0,180.22,44.6,-33.41,25.9,2.0,5191.0,103.0,-103.0,4.53,0.044,-0.055,0.826,0.061,-0.05,286.47147,49.649021,14.122,1,2
0.0,0.903583394,2.96e-07,-2.96e-07,131.877566,0.000272,-0.000272,1.242,2.752,-0.023,1.5942,0.0167,-0.0167,1030.0,8.5,-8.5,33.18,10.2,-3.65,2162.0,5162.98,4528.85,-1540.17,151.7,1.0,6455.0,154.0,-193.0,4.41,0.067,-0.202,1.101,0.338,-0.121,288.17081,43.501202,14.811,0,0
1.0,17.64830851,5.5e-05,-5.5e-05,133.54533,0.00252,-0.00252,0.653,0.265,-0.444,2.0873,0.0752,-0.0752,763.0,35.7,-35.7,2.43,0.1,-0.19,579.0,26.49,4.06,-5.32,23.8,2.0,5029.0,83.0,-75.0,4.494,0.077,-0.027,0.838,0.033,-0.066,289.59476,44.141949,15.46,1,2
0.711,4.28746668,1.52e-05,-1.52e-05,262.06245,0.00211,-0.00211,0.374,0.083,-0.374,1.5693,0.0785,-0.0785,790.0,49.7,-49.7,2.29,0.22,-0.1,942.0,186.31,56.73,-28.39,19.4,1.0,5296.0,105.0,-105.0,4.576,0.015,-0.085,0.815,0.08,-0.034,291.0488,36.839882,11.631,1,1
1.0,3.177414601,1.59e-06,-1.59e-06,134.478892,0.000417,-0.000417,0.786,0.015,-0.561,1.5262,0.0254,-0.0254,1130.0,12.1,-12.1,2.65,0.41,-0.19,997.0,233.26,118.02,-53.2,113.7,1.0,5303.0,159.0,-143.0,4.63,0.032,-0.097,0.708,0.111,-0.051,286.16205,39.678001,14.708,1,2
0.975,190.800788,0.00258,-0.00258,236.0389,0.0103,-0.0103,0.066,0.389,-0.066,8.082,0.352,-0.352,288.0,25.6,-25.6,1.67,0.27,-0.07,321.0,2.51,1.05,-0.32,13.0,1.0,5993.0,72.0,-84.0,4.489,0.021,-0.119,0.986,0.16,-0.038,293.62357,42.129639,14.322,1,1
0.0,1.071911311,3.05e-07,-3.05e-07,131.607529,0.00023,-0.00023,1.272,0.048,-0.055,3.8559,0.0141,-0.0141,9820.0,29.5,-29.5,40.32,10.5,-7.0,1809.0,2534.86,1991.46,-1002.89,397.6,1.0,5885.0,177.0,-177.0,4.413,0.144,-0.176,0.933,0.242,-0.162,294.67804,43.199261,15.083,0,0
0.0,92.7495777,0.000694,-0.000694,173.27975,0.00543,-0.00543,0.019,0.422,-0.019,5.506,0.191,-0.191,1110.0,65.1,-65.1,1.87,0.08,-0.1,240.0,0.78,0.15,-0.14,18.0,2.0,4141.0,83.0,-91.0,4.684,0.022,-0.025,0.582,0.027,-0.03,293.61371,47.839001,15.847,1,2
0.0,4.028671454,4.39e-07,-4.39e-07,133.9542149,9.12e-05,-9.12e-05,0.294,0.009,-0.001,8.12253,0.00609,-0.00609,114000.0,64.0,-64.0,52.42,16.2,-13.3,1492.0,1169.87,1058.63,-599.19,2152.8,1.0,6327.0,170.0,-208.0,4.168,0.19,-0.19,1.528,0.472,-0.387,292.22934,44.160789,13.775,0,0
1.0,8.12999858,2.38e-05,-2.38e-05,134.10067,0.00244,-0.00244,0.896,0.029,-0.626,2.1492,0.0697,-0.0697,148.0,6.6,-6.6,2.04,0.31,-0.46,1041.0,277.89,120.9,-121.84,26.1,2.0,5611.0,114.0,-91.0,4.144,0.195,-0.105,1.4,0.211,-0.316,297.27798,48.320332,12.848,1,2
0.0,2.023123903,1.25e-06,-1.25e-06,170.513161,0.000476,-0.000476,0.026,0.398,-0.026,1.1829,0.0196,-0.0196,1290.0,20.5,-20.5,2.87,0.58,-0.25,1266.0,608.26,403.56,-168.55,76.0,1.0,5559.0,194.0,-194.0,4.578,0.034,-0.136,0.803,0.164,-0.07,288.84903,47.021969,14.977,0,0
0.0,0.73975345,1.49e-06,-1.49e-06,131.81739,0.00162,-0.00162,0.525,0.622,-0.462,4.2,1.7,-1.7,482.0,40.3,-40.3,2.09,0.42,-0.25,1818.0,2580.0,1673.26,-805.88,86.2,1.0,5271.0,174.0,-158.0,4.436,0.104,-0.156,0.935,0.19,-0.111,292.68985,37.774361,15.141,0,0
0.0,0.661749944,2.28e-06,-2.28e-06,131.86076,0.00304,-0.00304,1.169,0.223,-0.178,4.112,0.223,-0.223,216.0,7.8,-7.8,23.92,7.45,-2.65,2420.0,8123.02,7466.02,-2549.95,34.5,1.0,6363.0,177.0,-221.0,4.386,0.052,-0.195,1.198,0.373,-0.133,292.5448,47.37191,15.396,0,0
0.0,2.53470797,1.44e-05,-1.44e-05,132.88117,0.00449,-0.00449,1.187,0.015,-0.166,20.143,0.413,-0.413,328.0,4.5,-4.5,50.25,8.69,-13.0,2117.0,4744.68,2101.83,-2265.45,99.5,1.0,6440.0,77.0,-77.0,3.874,0.21,-0.09,2.254,0.39,-0.585,293.66101,39.411629,13.92,0,0
1.0,25.5638626,0.000127,-0.000127,375.27811,0.00356,-0.00356,0.85,0.062,-0.62,4.685,0.109,-0.109,1120.0,39.1,-39.1,4.0,1.19,-0.51,671.0,47.94,43.54,-17.2,31.6,2.0,6228.0,196.0,-261.0,4.441,0.065,-0.195,1.049,0.313,-0.134,293.29364,42.19635,15.886,1,2
1.0,27.63714708,6.76e-05,-6.76e-05,143.93342,0.00193,-0.00193,0.669,0.001,-0.519,1.7277,0.0716,-0.0716,736.0,32.5,-32.5,6.96,2.44,-4.53,816.0,104.6,112.69,-93.3,27.4,1.0,5214.0,173.0,-157.0,3.766,0.75,-0.25,2.427,0.85,-1.579,298.0759,45.18903,13.851,1,1
0.651,64.740274,0.00149,-0.00149,149.9922,0.021,-0.021,0.74,0.184,-0.514,15.082,0.513,-0.513,113.0,7.3,-7.3,1.35,0.39,-0.31,518.0,16.96,14.2,-8.13,16.4,1.0,5999.0,163.0,-181.0,4.263,0.22,-0.18,1.177,0.335,-0.274,286.77313,39.277531,13.219,1,1
1.0,122.749053,0.0036,-0.0036,170.9953,0.0275,-0.0275,0.997,68.38,-0.053,8.342,0.796,-0.796,1040.0,86.1,-86.1,6.13,1.77,-0.55,348.0,3.48,3.06,-0.99,15.0,1.0,5619.0,180.0,-200.0,4.488,0.048,-0.204,0.976,0.281,-0.088,292.98517,46.506569,15.511,1,1
1.0,11.55103848,2.57e-05,-2.57e-05,134.90803,0.00177,-0.00177,0.493,0.427,-0.292,3.3601,0.059,-0.059,403.0,9.2,-9.2,2.17,0.34,-0.2,845.0,120.76,52.67,-28.79,49.8,1.0,5907.0,105.0,-117.0,4.395,0.08,-0.12,1.058,0.166,-0.097,294.61301,45.060169,14.138,1,2
0.0,4.9883872,2.69e-05,-2.69e-05,358.2335,0.00369,-0.00369,0.939,0.008,-0.024,9.142,0.293,-0.293,638.0,14.4,-14.4,2.59,0.74,-0.25,990.0,227.27,197.71,-64.86,52.9,1.0,5819.0,174.0,-192.0,4.565,0.034,-0.184,0.823,0.238,-0.079,296.43814,46.61536,15.752,0,0
1.0,18.79591276,1.23e-05,-1.23e-05,145.821854,0.000544,-0.000544,0.695,0.07,-0.418,7.5235,0.044,-0.044,2430.0,10.0,-10.0,7.39,1.33,-1.33,852.0,124.64,63.17,-47.31,282.3,2.0,6163.0,123.0,-123.0,4.185,0.154,-0.112,1.406,0.253,-0.253,288.79303,48.04023,14.274,1,2
0.0,2.249000963,5.31e-07,-5.31e-07,132.651415,0.000186,-0.000186,0.68,0.002,-0.002,9.6022,0.0146,-0.0146,58800.0,70.7,-70.7,59.61,13.6,-31.6,2126.0,4838.14,3358.9,-3892.75,1159.5,1.0,6025.0,180.0,-180.0,3.8,0.552,-0.138,2.293,0.521,-1.216,297.50803,46.521568,12.502,0,0
0.976,68.1609897,0.000453,-0.000453,187.03346,0.00431,-0.00431,0.459,0.471,-0.255,5.662,0.124,-0.124,296.0,12.5,-12.5,1.45,0.18,-0.07,405.0,6.34,2.35,-1.0,25.0,4.0,5677.0,113.0,-113.0,4.563,0.018,-0.108,0.828,0.104,-0.037,294.97351,45.213692,13.58,1,2
0.972,4.48494315,3.38e-05,-3.38e-05,135.01836,0.00541,-0.00541,0.3,0.143,-0.3,2.752,0.179,-0.179,135.0,12.7,-12.7,1.23,0.41,-0.13,1199.0,488.22,477.99,-152.79,12.4,1.0,6217.0,172.0,-216.0,4.437,0.056,-0.224,1.051,0.349,-0.116,285.36624,49.044868,14.879,1,2
0.275,9.3589254,0.000154,-0.000154,133.482,0.0138,-0.0138,0.184,0.268,-0.184,3.169,0.309,-0.309,1530.0,204.0,-204.0,17.37,5.37,-8.04,1528.0,1288.85,1178.02,-962.21,8.9,1.0,5188.0,146.0,-164.0,3.327,0.409,-0.22,4.521,1.396,-2.094,300.88522,44.081329,17.054,1,1
0.0,44.25817308,7.56e-06,-7.56e-06,188.495537,0.000127,-0.000127,0.815,0.001,-0.001,7.58264,0.00849,-0.00849,20500.0,22.1,-22.1,37.38,7.04,-13.1,845.0,120.38,67.07,-74.8,1282.3,1.0,6544.0,162.0,-179.0,3.839,0.292,-0.097,2.326,0.438,-0.813,288.54199,43.255421,13.204,0,0
0.0,4.426942241,3.53e-06,-3.53e-06,133.564383,0.00067,-0.00067,0.951,0.119,-0.033,1.6116,0.0565,-0.0565,2900.0,54.8,-54.8,5.43,0.92,-0.5,958.0,199.4,111.13,-53.33,68.9,1.0,5511.0,180.0,-163.0,4.569,0.056,-0.096,0.746,0.127,-0.068,287.13815,39.673592,15.469,0,0
0.0,1.545388842,8.41e-06,-8.41e-06,132.63059,0.00503,-0.00503,0.341,0.136,-0.341,3.037,0.161,-0.161,52.8,3.1,-3.1,0.56,0.13,-0.04,1421.0,964.53,610.63,-221.06,20.6,1.0,5782.0,138.0,-155.0,4.594,0.036,-0.144,0.767,0.168,-0.056,297.86011,46.386261,13.529,0,0
0.0,3.79187443,3.26e-07,-3.26e-07,134.134368,7.07e-05,-7.07e-05,0.798,0.011,-0.117,3.5521,0.00473,-0.00473,231000.0,143.0,-143.0,47.49,9.59,-3.22,1004.0,240.31,150.25,-53.02,1111.9,1.0,5622.0,168.0,-151.0,4.619,0.032,-0.128,0.723,0.146,-0.049,295.15628,41.052559,13.764,0,0
0.0,19.35954117,3.06e-05,-3.06e-05,134.25201,0.00221,-0.00221,0.328,0.002,-0.001,12.8464,0.00528,-0.00528,387000.0,171.0,-171.0,101.44,33.0,-49.5,942.0,186.12,185.74,-143.37,3590.2,1.0,6198.0,204.0,-204.0,3.96,0.57,-0.19,1.567,0.509,-0.764,292.10843,44.846481,14.257,0,0
0.616,10.2090268,0.000188,-0.000188,140.6805,0.0185,-0.0185,0.213,0.232,-0.213,6.264,0.564,-0.564,36.7,4.4,-4.4,0.92,0.17,-0.13,1058.0,296.42,148.26,-100.16,9.8,2.0,6188.0,110.0,-135.0,4.196,0.115,-0.126,1.524,0.278,-0.228,289.77325,40.80072,13.31,1,1
0.973,1.002591901,4.99e-06,-4.99e-06,131.65849,0.00374,-0.00374,0.312,0.147,-0.312,1.247,0.156,-0.156,143.0,16.8,-16.8,0.87,0.08,-0.08,1391.0,884.21,298.22,-248.45,11.1,1.0,4893.0,161.0,-161.0,4.574,0.05,-0.045,0.739,0.062,-0.069,297.61307,41.672829,15.79,1,1
0.0,7.981187121,2.28e-06,-2.28e-06,133.802114,0.00024,-0.00024,1.036,0.342,-0.053,1.8071,0.0132,-0.0132,7610.0,46.2,-46.2,18.75,6.06,-2.03,966.0,205.88,197.13,-61.93,202.1,1.0,6217.0,175.0,-197.0,4.472,0.054,-0.216,0.989,0.32,-0.107,293.70905,45.286388,14.36,0,0
0.0,39.23814157,7.22e-06,-7.22e-06,148.651652,0.000144,-0.000144,0.459,0.009,-0.007,6.07183,0.00884,-0.00884,439000.0,512.0,-512.0,90.93,20.9,-10.4,656.0,43.69,28.43,-13.63,969.3,1.0,6599.0,147.0,-213.0,4.35,0.06,-0.14,1.234,0.283,-0.141,285.97623,48.320782,12.153,0,0
1.0,6.94135824,1.09e-05,-1.09e-05,137.5437,0.0013,-0.0013,0.871,0.022,-0.597,1.8899,0.0363,-0.0363,825.0,22.0,-22.0,2.96,0.33,-0.23,876.0,139.05,47.54,-29.54,43.1,1.0,5527.0,110.0,-110.0,4.491,0.06,-0.09,0.88,0.1,-0.067,288.81195,39.77066,13.828,1,2
1.0,5.747711909,7.49e-06,-7.49e-06,133.29939,0.00111,-0.00111,0.575,0.051,-0.454,1.8923,0.04,-0.04,820.0,18.5,-18.5,1.86,0.07,-0.09,641.0,40.07,6.76,-6.61,51.7,1.0,4252.0,84.0,-84.0,4.64,0.03,-0.017,0.632,0.025,-0.031,291.90326,37.90229,14.496,1,2
1.0,11.1296971,9.1e-05,-9.1e-05,138.57573,0.00645,-0.00645,0.572,0.383,-0.369,2.942,0.218,-0.218,371.0,30.0,-30.0,1.93,0.62,-0.2,843.0,119.44,115.92,-36.66,14.7,1.0,6122.0,190.0,-232.0,4.487,0.052,-0.208,0.964,0.309,-0.097,296.60141,44.32526,15.859,1,1
0.992,13.6396648,0.00023,-0.00023,141.7301,0.0117,-0.0117,0.105,0.344,-0.105,5.425,0.3,-0.3,163.0,13.2,-13.2,1.1,0.11,-0.11,717.0,62.6,19.52,-15.52,13.3,3.0,5600.0,112.0,-100.0,4.455,0.102,-0.077,0.872,0.088,-0.088,284.67728,44.79768,15.204,1,2
0.987,6.1082945,0.000101,-0.000101,131.8756,0.0145,-0.0145,0.63,0.349,-0.421,3.493,0.337,-0.337,61.1,6.8,-6.8,1.06,0.35,-0.13,1267.0,608.39,585.94,-199.04,10.8,1.0,6720.0,164.0,-234.0,4.316,0.084,-0.21,1.289,0.432,-0.154,295.17538,45.930908,13.606,1,2
0.987,25.0985083,0.000102,-0.000102,145.56829,0.00333,-0.00333,0.814,0.11,-0.574,2.7727,0.0936,-0.0936,168.0,8.3,-8.3,1.59,0.24,-0.23,656.0,43.84,18.99,-14.03,21.3,3.0,5782.0,104.0,-115.0,4.34,0.126,-0.103,1.095,0.17,-0.155,287.14066,47.115189,12.776,1,2
0.0,117.6813778,1.74e-05,-1.74e-05,147.206961,0.000116,-0.000116,0.433,0.003,-0.003,12.7591,0.00856,-0.00856,45400.0,22.5,-22.5,45.43,9.57,-15.5,575.0,25.76,15.95,-15.69,2426.9,1.0,6429.0,162.0,-162.0,3.899,0.28,-0.1,2.079,0.438,-0.711,291.0188,38.569859,12.112,0,0
0.0,0.805267592,4.45e-06,-4.45e-06,132.09128,0.0054,-0.0054,0.082,0.411,-0.082,0.887,0.29,-0.29,147.0,22.9,-22.9,1.35,0.41,-0.17,2165.0,5216.79,4688.98,-1822.99,9.8,1.0,6268.0,174.0,-261.0,4.429,0.052,-0.195,1.1,0.335,-0.134,290.13007,41.5998,15.881,0,0
0.871,6.810823723,1.01e-06,-1.01e-06,136.04667,0.000115,-0.000115,0.57,0.011,-0.01,7.98574,0.00861,-0.00861,14400.0,12.0,-12.0,26.06,6.36,-9.53,1626.0,1656.16,1245.3,-1094.83,1441.9,1.0,7226.0,228.0,-304.0,3.967,0.315,-0.135,2.079,0.507,-0.76,299.10281,47.377781,12.628,1,1
0.0,2.33211505,3.19e-06,-3.19e-06,132.19683,0.00113,-0.00113,1.747,0.303,-0.157,2.96723,0.00921,-0.00921,106000.0,142.0,-142.0,140.22,39.7,-24.5,1594.0,1530.05,1284.72,-639.83,997.8,1.0,6384.0,179.0,-247.0,4.348,0.124,-0.186,1.094,0.31,-0.191,300.15649,46.20332,14.087,0,0
0.0,0.566805514,4.75e-06,-4.75e-06,131.8162,0.01,-0.01,0.027,0.441,-0.027,4.367,0.371,-0.371,85.3,6.2,-6.2,0.82,0.32,-0.11,1920.0,3193.9,3854.73,-1057.2,25.1,1.0,5115.0,168.0,-153.0,4.439,0.132,-0.397,0.917,0.36,-0.12,290.96289,42.570709,14.943,0,0
0.0,5.877122413,1.78e-06,-1.78e-06,136.420718,0.000251,-0.000251,1.238,0.082,-0.062,3.7369,0.0126,-0.0126,15600.0,66.2,-66.2,45.95,13.6,-10.2,1061.0,300.43,260.76,-137.11,287.6,1.0,5778.0,155.0,-155.0,4.325,0.214,-0.195,1.043,0.309,-0.231,295.68607,42.970619,13.147,0,0
1.0,1.151244686,1.52e-06,-1.52e-06,132.64551,0.00115,-0.00115,1.387,7.621,-0.119,1.272,0.0679,-0.0679,270.0,10.7,-10.7,40.32,12.6,-4.21,1756.0,2253.09,2065.12,-671.41,32.6,1.0,6086.0,164.0,-200.0,4.511,0.04,-0.216,0.921,0.288,-0.096,296.06625,42.768219,14.519,1,1
0.001,2.151384476,8.1e-08,-8.1e-08,133.1088143,3.13e-05,-3.13e-05,0.237,0.027,-0.012,3.34471,0.00272,-0.00272,264000.0,87.0,-87.0,66.2,18.2,-18.2,1725.0,2097.48,1699.67,-1122.47,2657.6,1.0,6184.0,168.0,-186.0,4.19,0.27,-0.18,1.257,0.346,-0.346,298.40985,40.156792,12.916,0,0
1.0,11.90352088,2.9e-05,-2.9e-05,178.34161,0.00181,-0.00181,0.421,0.027,-0.421,4.297,0.0663,-0.0663,633.0,14.7,-14.7,2.56,0.81,-0.27,827.0,110.54,105.36,-34.16,47.2,1.0,6063.0,181.0,-217.0,4.47,0.054,-0.216,1.001,0.318,-0.106,289.55328,43.876179,14.939,1,2
1.0,11.49500229,8.82e-05,-8.82e-05,141.27511,0.00635,-0.00635,0.911,0.051,-0.613,7.602,0.165,-0.165,51.4,2.4,-2.4,1.53,0.3,-0.49,1105.0,351.79,215.6,-207.71,22.9,1.0,6033.0,183.0,-183.0,3.985,0.266,-0.114,1.788,0.351,-0.571,298.67377,43.795479,12.014,1,1
0.0,2.99025443,1.17e-05,-1.17e-05,171.9834,0.00309,-0.00309,0.014,0.334,-0.014,5.414,0.113,-0.113,589.0,14.1,-14.1,1.7,0.1,-0.15,918.0,168.45,43.55,-45.45,48.5,1.0,4667.0,140.0,-154.0,4.578,0.048,-0.028,0.731,0.042,-0.063,287.74881,38.92955,15.842,0,0
