DispositionScore,OrbitalPeriod[days,OrbitalPeriodUpperUnc.[days,OrbitalPeriodLowerUnc.[days,TransitEpoch[BKJD,TransitEpochUpperUnc.[BKJD,TransitEpochLowerUnc.[BKJD,ImpactParamete,ImpactParameterUpperUnc,ImpactParameterLowerUnc,TransitDuration[hrs,TransitDurationUpperUnc.[hrs,TransitDurationLowerUnc.[hrs,TransitDepth[ppm,TransitDepthUpperUnc.[ppm,TransitDepthLowerUnc.[ppm,PlanetaryRadius[Earthradii,PlanetaryRadiusUpperUnc.[Earthradii,PlanetaryRadiusLowerUnc.[Earthradii,EquilibriumTemperature[K,InsolationFlux[Earthflux,InsolationFluxUpperUnc.[Earthflux,InsolationFluxLowerUnc.[Earthflux,TransitSignal-to-Nois,TCEPlanetNumbe,StellarEffectiveTemperature[K,StellarEffectiveTemperatureUpperUnc.[K,StellarEffectiveTemperatureLowerUnc.[K,StellarSurfaceGravity[log10(cm/s**2),StellarSurfaceGravityUpperUnc.[log10(cm/s**2),StellarSurfaceGravityLowerUnc.[log10(cm/s**2),StellarRadius[Solarradii,StellarRadiusUpperUnc.[Solarradii,StellarRadiusLowerUnc.[Solarradii,RA[decimaldegrees,Dec[decimaldegrees,Kepler-band[mag],ExoplanetCandidate,ExoplanetConfirmed
0.789,87.487573,0.00263,-0.00263,154.5163,0.0182,-0.0182,0.127,0.338,-0.127,5.881,0.66,-0.66,529.0,77.6,-77.6,1.87,0.49,-0.16,377.0,4.79,3.66,-1.25,8.4,1.0,5774.0,155.0,-172.0,4.567,0.033,-0.176,0.818,0.212,-0.071,298.31586,47.105091,15.626,1,1
0.0,1.655472351,2.88e-07,-2.88e-07,133.126106,0.000143,-0.000143,0.836,0.016,-0.018,5.09197,0.00864,-0.00864,174000.0,230.0,-230.0,125.25,24.8,-57.8,2546.0,9914.08,5917.34,-7368.47,823.8,1.0,6725.0,183.0,-204.0,3.86,0.428,-0.114,2.171,0.429,-1.001,297.74109,42.99609,11.471,0,0
0.673,8.2942929,0.000152,-0.000152,134.8478,0.0152,-0.0152,0.006,0.455,-0.006,3.976,0.385,-0.385,36.8,4.1,-4.1,0.65,0.1,-0.04,928.0,175.39,79.3,-35.11,10.1,2.0,5843.0,104.0,-127.0,4.421,0.04,-0.12,1.084,0.177,-0.071,287.97885,42.679359,12.857,1,1
0.0,6.62761199,2.69e-07,-2.69e-07,132.5466377,3.32e-05,-3.32e-05,0.753,0.008,-0.015,6.15281,0.00132,-0.00132,227000.0,29.2,-29.2,82.03,25.2,-16.8,1204.0,496.41,439.42,-218.43,4355.5,1.0,6316.0,158.0,-189.0,4.231,0.18,-0.18,1.333,0.409,-0.273,287.0257,38.171021,13.558,0,0
0.0,0.808106001,8.72e-07,-8.72e-07,131.69026,0.00104,-0.00104,1.269,0.484,-0.142,3.9174,0.0421,-0.0421,7680.0,61.8,-61.8,39.59,10.5,-4.22,1978.0,3631.91,2958.0,-1154.43,73.3,1.0,6014.0,189.0,-232.0,4.494,0.058,-0.173,0.958,0.255,-0.102,300.95416,43.991718,15.94,0,0
0.0,0.539445498,7.5e-08,-7.5e-08,131.898299,0.000115,-0.000115,1.214,0.069,-0.065,2.2821,0.00523,-0.00523,25300.0,34.3,-34.3,68.65,19.9,-18.1,2959.0,18153.51,15563.03,-9744.52,511.4,1.0,6486.0,181.0,-250.0,4.174,0.209,-0.171,1.456,0.422,-0.384,294.35016,50.35146,13.698,0,0
0.0,359.00688,0.0177,-0.0177,295.8649,0.0264,-0.0264,1.263,71.84,-2.686,32.16,1.3,-1.3,2020.0,76.9,-76.9,28.57,7.68,-2.57,237.0,0.74,0.59,-0.2,35.3,1.0,5715.0,155.0,-172.0,4.537,0.055,-0.176,0.834,0.224,-0.075,291.18866,38.751259,15.164,0,0
1.0,7.69363627,2.06e-05,-2.06e-05,176.5035,0.00224,-0.00224,0.366,0.142,-0.366,5.0324,0.0656,-0.0656,295.0,6.0,-6.0,2.12,0.36,-0.33,1069.0,308.61,152.48,-106.84,55.1,2.0,6086.0,134.0,-134.0,4.274,0.143,-0.117,1.216,0.207,-0.188,293.72806,46.12915,13.998,1,2
0.0,0.812587678,2.01e-06,-2.01e-06,131.56261,0.00188,-0.00188,0.515,0.42,-0.31,1.1144,0.0634,-0.0634,62.9,3.6,-3.6,1.54,0.31,-0.47,2717.0,12840.3,7883.0,-7376.98,21.7,1.0,6143.0,167.0,-186.0,4.009,0.259,-0.111,1.877,0.383,-0.575,288.49313,42.692478,13.429,0,0
0.0,10.72725536,4.89e-05,-4.89e-05,132.90239,0.0033,-0.0033,1.056,17.11,-0.042,1.7541,0.0213,-0.0213,56200.0,432.0,-432.0,12.85,3.01,-2.69,307.0,2.1,1.36,-0.9,160.5,1.0,3324.0,66.0,-73.0,5.006,0.075,-0.083,0.268,0.063,-0.056,285.00772,49.503979,16.415,1,1
